"Year","State Name","avg_maize_yield"
"1991","Madhya Pradesh","896.88"
"1991","Maharashtra","764.51"
"1991","Orissa","909.74"
"1991","Punjab","1859.26"
"1991","Rajasthan","622.29"
"1991","Tamil Nadu","1264.75"
"1991","Telangana","1889.19"
"1991","Uttar Pradesh","1083.60"
"1991","Uttarakhand","1225.76"
"1991","West Bengal","692.67"
"1992","Andhra Pradesh","2622.87"
"1992","Assam","613.41"
"1992","Bihar","1665.70"
"1992","Chhattisgarh","1472.80"
"1992","Gujarat","1104.26"
"1992","Haryana","1543.82"
"1992","Himachal Pradesh","2159.49"
"1992","Jharkhand","1335.08"
"1992","Karnataka","2873.41"
"1992","Kerala","0.00"
"1992","Madhya Pradesh","1499.32"
"1992","Maharashtra","1203.14"
"1992","Orissa","1045.06"
"1992","Punjab","1923.59"
"1992","Rajasthan","840.95"
"1992","Tamil Nadu","1251.38"
"1992","Telangana","2880.31"
"1992","Uttar Pradesh","1317.80"
"1992","Uttarakhand","1180.83"
"1992","West Bengal","1311.07"
"1993","Andhra Pradesh","1874.06"
"1993","Assam","616.75"
"1993","Bihar","1940.26"
"1993","Chhattisgarh","1464.67"
"1993","Gujarat","717.58"
"1993","Haryana","1133.12"
"1993","Himachal Pradesh","2250.50"
"1993","Jharkhand","1660.53"
"1993","Karnataka","2773.16"
"1993","Kerala","0.00"
"1993","Madhya Pradesh","1384.99"
"1993","Maharashtra","1354.84"
"1993","Orissa","1074.47"
"1993","Punjab","1905.88"
"1993","Rajasthan","823.11"
"1993","Tamil Nadu","837.30"
"1993","Telangana","2551.27"
"1993","Uttar Pradesh","1086.38"
"1993","Uttarakhand","1147.34"
"1993","West Bengal","1379.68"
"1994","Andhra Pradesh","1898.73"
"1994","Assam","613.36"
"1994","Bihar","1817.51"
"1994","Chhattisgarh","927.14"
"1994","Gujarat","560.33"
"1994","Haryana","725.32"
"1994","Himachal Pradesh","2122.36"
"1994","Jharkhand","1128.77"
"1994","Karnataka","2377.92"
"1994","Kerala","0.00"
"1994","Madhya Pradesh","912.83"
"1994","Maharashtra","1182.23"
"1994","Orissa","1142.02"
"1994","Punjab","1595.22"
"1994","Rajasthan","674.49"
"1994","Tamil Nadu","1186.51"
"1994","Telangana","2662.47"
"1994","Uttar Pradesh","1243.67"
"1994","Uttarakhand","1148.92"
"1994","West Bengal","1110.20"
"1995","Andhra Pradesh","2462.43"
"1995","Assam","639.42"
"1995","Bihar","1945.33"
"1995","Chhattisgarh","1429.90"
"1995","Gujarat","876.09"
"1995","Haryana","1612.45"
"1995","Himachal Pradesh","2230.89"
"1995","Karnataka","2865.58"
"1995","Kerala","0.00"
"1995","Madhya Pradesh","1230.29"
"1995","Maharashtra","1082.50"
"1995","Orissa","1188.19"
"1995","Punjab","1538.67"
"1995","Rajasthan","709.78"
"1995","Tamil Nadu","1131.70"
"1995","Telangana","2428.06"
"1995","Uttar Pradesh","1297.85"
"1995","Uttarakhand","1127.96"
"1995","West Bengal","904.03"
"1996","Andhra Pradesh","3269.60"
"1996","Assam","648.74"
"1996","Bihar","1930.17"
"1996","Chhattisgarh","1266.99"
"1996","Gujarat","1434.34"
"1996","Haryana","1422.11"
"1996","Himachal Pradesh","2010.17"
"1996","Karnataka","2801.15"
"1996","Kerala","0.00"
"1996","Madhya Pradesh","1146.63"
"1996","Maharashtra","1103.86"
"1996","Orissa","1200.78"
"1996","Punjab","1984.89"
"1996","Rajasthan","873.66"
"1996","Tamil Nadu","1142.61"
"1996","Telangana","2832.34"
"1996","Uttar Pradesh","1361.47"
"1996","Uttarakhand","1183.41"
"1996","West Bengal","1146.99"
"1997","Andhra Pradesh","2409.49"
"1997","Assam","646.18"
"1997","Bihar","1793.94"
"1997","Chhattisgarh","1105.44"
"1997","Gujarat","1275.78"
"1997","Haryana","1329.53"
"1997","Himachal Pradesh","2171.31"
"1997","Jharkhand","1046.91"
"1997","Karnataka","2470.48"
"1997","Kerala","0.00"
"1997","Madhya Pradesh","1109.66"
"1997","Maharashtra","1180.11"
"1997","Orissa","1195.48"
"1997","Punjab","1697.13"
"1997","Rajasthan","962.43"
"1997","Tamil Nadu","1125.02"
"1997","Telangana","2764.46"
"1997","Uttar Pradesh","1461.67"
"1997","Uttarakhand","1262.91"
"1997","West Bengal","1670.20"
"1998","Andhra Pradesh","2694.87"
"1998","Assam","637.49"
"1998","Bihar","1875.57"
"1998","Chhattisgarh","1263.23"
"1998","Gujarat","1259.55"
"1998","Haryana","563.49"
"1998","Himachal Pradesh","2298.20"
"1998","Jharkhand","1302.08"
"1998","Karnataka","3040.04"
"1998","Kerala","0.00"
"1998","Madhya Pradesh","1228.55"
"1998","Maharashtra","1412.54"
"1998","Orissa","1047.81"
"1998","Punjab","1966.16"
"1998","Rajasthan","825.46"
"1998","Tamil Nadu","1123.64"
"1998","Telangana","3184.37"
"1998","Uttar Pradesh","922.27"
"1998","Uttarakhand","1081.93"
"1998","West Bengal","1987.86"
"1999","Andhra Pradesh","3669.13"
"1999","Assam","659.26"
"1999","Bihar","2139.76"
"1999","Chhattisgarh","1536.75"
"1999","Gujarat","1055.90"
"1999","Haryana","1284.69"
"1999","Himachal Pradesh","2450.92"
"1999","Jharkhand","1325.41"
"1999","Karnataka","2522.13"
"1999","Kerala","0.00"
"1999","Madhya Pradesh","1447.55"
"1999","Maharashtra","1177.19"
"1999","Orissa","1188.64"
"1999","Punjab","2636.93"
"1999","Rajasthan","839.04"
"1999","Tamil Nadu","1267.50"
"1999","Telangana","3077.58"
"1999","Uttar Pradesh","1318.47"
"1999","Uttarakhand","1191.33"
"1999","West Bengal","1343.43"
"2000","Andhra Pradesh","3590.45"
"2000","Assam","689.57"
"2000","Bihar","2263.85"
"2000","Chhattisgarh","1187.50"
"2000","Gujarat","657.85"
"2000","Haryana","975.76"
"2000","Himachal Pradesh","2414.30"
"2000","Jharkhand","1597.60"
"2000","Karnataka","2838.51"
"2000","Kerala","0.00"
"2000","Madhya Pradesh","1514.21"
"2000","Maharashtra","847.53"
"2000","Orissa","1115.54"
"2000","Punjab","2855.28"
"2000","Rajasthan","963.49"
"2000","Tamil Nadu","1324.33"
"2000","Telangana","2763.95"
"2000","Uttar Pradesh","1567.27"
"2000","Uttarakhand","1299.41"
"2000","West Bengal","1802.56"
"2001","Andhra Pradesh","4428.02"
"2001","Assam","640.21"
"2001","Bihar","2352.90"
"2001","Chhattisgarh","742.63"
"2001","Gujarat","1447.76"
"2001","Haryana","1227.20"
"2001","Himachal Pradesh","2725.13"
"2001","Jharkhand","1414.26"
"2001","Karnataka","2438.70"
"2001","Kerala","0.00"
"2001","Madhya Pradesh","1896.08"
"2001","Maharashtra","1825.90"
"2001","Orissa","1036.42"
"2001","Punjab","2763.61"
"2001","Rajasthan","1202.64"
"2001","Tamil Nadu","1263.37"
"2001","Telangana","3108.33"
"2001","Uttar Pradesh","1526.37"
"2001","Uttarakhand","1141.38"
"2001","West Bengal","1963.26"
"2002","Andhra Pradesh","3255.31"
"2002","Assam","648.88"
"2002","Bihar","2172.53"
"2002","Chhattisgarh","1296.64"
"2002","Gujarat","1233.70"
"2002","Haryana","594.95"
"2002","Himachal Pradesh","1646.19"
"2002","Jharkhand","1091.22"
"2002","Karnataka","2142.03"
"2002","Kerala","0.00"
"2002","Madhya Pradesh","1558.93"
"2002","Maharashtra","1494.55"
"2002","Orissa","1083.69"
"2002","Punjab","2050.85"
"2002","Rajasthan","626.69"
"2002","Tamil Nadu","1224.34"
"2002","Telangana","2485.83"
"2002","Uttar Pradesh","1064.07"
"2002","Uttarakhand","923.31"
"2002","West Bengal","1580.47"
"2003","Andhra Pradesh","3377.17"
"2003","Assam","643.75"
"2003","Bihar","2261.24"
"2003","Chhattisgarh","1246.07"
"2003","Gujarat","1338.15"
"2003","Haryana","1397.39"
"2003","Himachal Pradesh","2655.13"
"2003","Jharkhand","1402.27"
"2003","Karnataka","2152.98"
"2003","Kerala","0.00"
"2003","Madhya Pradesh","1844.83"
"2003","Maharashtra","1574.16"
"2003","Orissa","1017.50"
"2003","Punjab","3062.59"
"2003","Rajasthan","1472.96"
"2003","Tamil Nadu","1393.56"
"2003","Telangana","3513.35"
"2003","Uttar Pradesh","1339.56"
"2003","Uttarakhand","969.21"
"2003","West Bengal","2154.95"
"2004","Andhra Pradesh","4626.86"
"2004","Assam","652.56"
"2004","Bihar","2385.42"
"2004","Chhattisgarh","1371.42"
"2004","Gujarat","834.71"
"2004","Haryana","870.37"
"2004","Himachal Pradesh","2230.73"
"2004","Jharkhand","1398.76"
"2004","Karnataka","2788.63"
"2004","Kerala","0.00"
"2004","Madhya Pradesh","1358.76"
"2004","Maharashtra","1298.19"
"2004","Orissa","1088.46"
"2004","Punjab","2303.56"
"2004","Rajasthan","907.79"
"2004","Tamil Nadu","1360.84"
"2004","Telangana","2699.00"
"2004","Uttar Pradesh","1518.34"
"2004","Uttarakhand","1338.41"
"2004","West Bengal","2585.16"
"2005","Andhra Pradesh","5656.50"
"2005","Assam","657.42"
"2005","Bihar","2182.12"
"2005","Chhattisgarh","1371.42"
"2005","Gujarat","1272.90"
"2005","Haryana","662.62"
"2005","Himachal Pradesh","1976.11"
"2005","Jharkhand","1027.71"
"2005","Karnataka","3137.57"
"2005","Kerala","0.00"
"2005","Madhya Pradesh","1361.05"
"2005","Maharashtra","1709.02"
"2005","Orissa","1179.65"
"2005","Punjab","2314.30"
"2005","Rajasthan","866.30"
"2005","Tamil Nadu","1035.20"
"2005","Telangana","3620.68"
"2005","Uttar Pradesh","1331.16"
"2005","Uttarakhand","1345.81"
"2005","West Bengal","2684.99"
"2006","Andhra Pradesh","5714.56"
"2006","Assam","653.60"
"2006","Bihar","2554.31"
"2006","Chhattisgarh","1069.10"
"2006","Gujarat","425.50"
"2006","Haryana","351.29"
"2006","Himachal Pradesh","2430.11"
"2006","Jharkhand","1412.38"
"2006","Karnataka","2637.47"
"2006","Kerala","0.00"
"2006","Madhya Pradesh","890.50"
"2006","Maharashtra","1727.09"
"2006","Orissa","1239.92"
"2006","Punjab","2644.21"
"2006","Rajasthan","895.55"
"2006","Tamil Nadu","3404.52"
"2006","Telangana","2999.73"
"2006","Uttar Pradesh","1345.94"
"2006","Uttarakhand","1050.17"
"2006","West Bengal","2706.82"
"2007","Andhra Pradesh","6290.12"
"2007","Assam","633.72"
"2007","Bihar","2609.67"
"2007","Chhattisgarh","1433.11"
"2007","Gujarat","1132.57"
"2007","Haryana","1321.68"
"2007","Himachal Pradesh","2387.57"
"2007","Jharkhand","1288.21"
"2007","Karnataka","3023.67"
"2007","Kerala","0.00"
"2007","Madhya Pradesh","1112.25"
"2007","Maharashtra","2445.47"
"2007","Orissa","1428.01"
"2007","Punjab","2862.19"
"2007","Rajasthan","1412.73"
"2007","Tamil Nadu","3330.49"
"2007","Telangana","4435.52"
"2007","Uttar Pradesh","1425.66"
"2007","Uttarakhand","1220.08"
"2007","West Bengal","2711.69"
"2008","Andhra Pradesh","6438.66"
"2008","Assam","633.53"
